,ISOF,ISOF_minmax,ISOF_stand,GMM,GMM_minmax,GMM_stand,BRM_euc,BRM_euc_minmax,BRM_euc_stand,BRM_cos,BRM_cos_minmax,BRM_cos_stand,BRM_man,BRM_man_minmax,BRM_man_stand,ocSVM
ecoli-0-2-6-7_vs_3-5,0.935,0.815,0.915,0.9199999999999999,0.69,0.88,0.865,0.69,0.815,0.6599999999999999,0.63,0.67,0.915,0.5249999999999999,0.825,0.88
kr-vs-k-one_vs_fifteen,0.9894630484988453,0.9894630484988453,0.9913394919168591,0.9962471131639723,0.9813799076212472,0.5969976905311779,0.7752598152424942,0.8130773672055427,0.7622690531177829,0.7267609699769053,0.8614318706697459,0.6032043879907621,0.713337182448037,0.8338625866050808,0.829676674364896,0.9245092378752887
ecoli-0-3-4-7_vs_5-6,0.7702127659574467,0.8085106382978723,0.8425531914893617,0.7617021276595745,0.6042553191489362,0.8425531914893617,0.6893617021276596,0.5872340425531914,0.8085106382978724,0.548936170212766,0.6638297872340426,0.6127659574468085,0.7234042553191489,0.5702127659574467,0.8297872340425532,0.651063829787234
car-good,0.5453958691910499,0.5453958691910499,0.5884251290877798,0.5856282271944923,0.5856282271944923,0.8050774526678142,0.5030120481927711,0.5,0.7353700516351119,0.5,0.5015060240963856,0.7013769363166953,0.5045180722891567,0.5015060240963856,0.8612306368330465,0.6092943201376936
ecoli-0-1-4-6_vs_5,0.8605769230769231,0.8653846153846154,0.8894230769230769,0.8221153846153846,0.7788461538461539,0.8076923076923077,0.8076923076923077,0.7067307692307693,0.8173076923076923,0.5961538461538461,0.6538461538461539,0.6923076923076923,0.8461538461538461,0.7115384615384616,0.8605769230769231,0.7019230769230769
cleveland-0_vs_4,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.78125,0.6145833333333334,0.96875,0.9166666666666666,0.6041666666666667,0.90625,0.5833333333333334,0.6875,1.0,0.9583333333333334,0.6145833333333334
car-vgood,0.5659505659505659,0.5659505659505659,0.5878955878955879,0.7234927234927235,0.7234927234927235,0.6431046431046432,0.5,0.5015015015015015,0.5500115500115501,0.506006006006006,0.5075075075075075,0.5190575190575191,0.5015015015015015,0.5015015015015015,0.7075537075537076,0.5511665511665511
yeast-2_vs_8,0.6532258064516129,0.6451612903225806,0.6666666666666666,0.6505376344086021,0.6693548387096775,0.6693548387096774,0.6236559139784946,0.5994623655913979,0.6424731182795699,0.6370967741935484,0.6182795698924731,0.6129032258064516,0.6209677419354839,0.6263440860215054,0.6559139784946236,0.5725806451612904
ecoli-0-1-4-7_vs_2-3-5-6,0.7258064516129032,0.760752688172043,0.717741935483871,0.8064516129032258,0.5940860215053764,0.5994623655913979,0.7016129032258065,0.532258064516129,0.7365591397849462,0.6693548387096775,0.6155913978494623,0.5591397849462365,0.7688172043010753,0.5241935483870968,0.7150537634408602,0.6612903225806452
winequality-red-3_vs_5,0.8576642335766423,0.8832116788321168,0.8941605839416058,0.9708029197080292,0.9708029197080292,0.9562043795620438,0.551094890510949,0.8832116788321167,0.8905109489051095,0.8905109489051095,0.7153284671532847,0.6167883211678833,0.5875912408759124,0.8686131386861313,0.9014598540145985,0.5364963503649636
